Probe	GeneID	MOCK_1	MOCK_2	MOCK_3	TATCRE.1	TATCRE_2	TATCRE_3
NgNIJRTV6QhFNeCkeo	D8ERTD738E	10.6720941262304	11.2764669644872	10.6001415424653	10.3877899795473	10.6519783975547	10.8000593065431
ZU0J1xSpAiUBf3L7To	USB1	10.4582321905922	10.4084905837878	10.2014268691638	10.5895364483467	10.5822996760027	10.7860238892991
re351e_e6OvEku33nk	SMIM19	9.28053416276762	9.07177552435524	9.61598116618645	10.188596870499	10.1583868432025	10.3374911148228
uMBbkwpdiuwgpwTv1U	EXOC8	11.0003415930071	10.9775127205264	11.2752083136134	11.0650559363975	11.0987276224956	11.1766843911876
xKpU3tl0635QQf_LKc	GADD45GIP1	7.68352302550118	7.93156876386804	7.96544589970515	7.74335179463479	7.84662974446232	7.82984466986671
cxILlLSEieoNOMQ1Jc	PHKB	8.94761304727604	8.43902388692209	8.76178555311229	8.55876969812097	8.76171310576214	8.50961754686688
xXFXjz.RJjJIk16QSo	ARHGEF18	8.48999501439432	8.9950389866713	8.98765187283823	9.25478217428502	9.23538615107574	9.47343977188682
QPcR0RVaWnSApLOOcU	MTUS1	7.58773687732283	7.63943332072075	7.52016583449742	7.68919018620135	7.69689970810264	7.47380585431343
lXS_hRe7O4QTKv6Up4	DOHH	8.04812337489403	7.89977389595349	7.97868451729449	8.18841348611016	8.10518427151144	8.3057448565737
ETUl4orKCieFGIE4U0	FAM192A	10.2473913239025	10.4377297754041	10.3378004835769	10.2027503615545	10.4280848660788	10.4891404306066
uRIqXhCBTOP.P1iXV0	SNX25	9.77785976511504	9.4982652511819	9.61558814964686	9.35659096972703	9.20020582788134	9.33605394335648
Nor30_nkfu0kfsV6og	TAF5L	9.51620256417849	9.22374748043868	9.31603788481894	9.02140235284603	8.81703113613215	8.9904218619527
Tt0V1Lui3ua4FQnizE	ZDHHC7	10.6268063907802	10.3501917198932	10.472357879749	10.5869275866133	10.8217864298711	10.5599944290823
TiJukoQrSJxJ55Uo.w	GPAT4	11.4911502242638	12.1770498121074	12.2529423525253	12.1566271156531	12.2220948019879	12.134719827364
ijZH69JWITcPBUlU6I	CYP4V3	8.35921898865084	8.5779055460523	8.62049333004527	8.77862442144866	8.84649183510395	8.45887961144422
6oCiS4zj4krgpO55Uk	DCUN1D2	8.79941541506508	8.48231081658306	8.65000269235025	8.7230229662742	8.75983389589578	8.69438370609307
fo757_yge2rSDP8c64	ANKRD10	11.03044577854	10.5113432659348	11.2054828471905	10.9466166826733	10.8790395772857	10.9683587459346
lWIQvZWXd0jpxDXwXI	COG4	8.53475492292617	8.90305124854856	8.6892502819741	8.36008396752551	8.42250858259793	8.27777175525958
cQgkUvQuldKEV2f2sQ	HINFP	7.70353463319838	8.27961159864972	8.05526944545469	7.95969477309256	7.80754059229408	7.79266648665446
QQ50fKXEJCoinwkQrc	LARS2	9.7439179197974	9.9797405951379	9.57707193514837	8.51684720129667	8.3852953121041	8.49655903852956
BmY4f43I5cmLfften0	IMP3	12.3204148794857	11.7057843260956	12.0913153140665	11.2149565072805	11.3272372908381	11.3503202565801
HaRnn3XTZdTLjJdQi8	CMTM7	9.97349357608899	10.3668940351371	9.45131627523887	10.2784172766004	9.8928872856454	9.91091749179828
B3R2hXVKlkRFdSe.TQ	ANO10	8.25148467448578	8.31059349969097	8.03874343603239	8.20145347861527	8.47157114401409	8.41202413797793
H.uhLeuxxJdJ9Quqh8	SLC22A13	7.75630234760276	7.73020190298775	7.77225821040836	7.62901498350695	7.69155286221688	7.51624752465103
KcqfUaJYfXUKTXvIns	ALG9	9.39795080640048	9.63354269665992	9.64710916587464	9.63414553643779	9.6107840794055	9.59077013273408
6VxJBCrnsffULRefUo	PLEKHO2	9.98626217994712	10.7297713319558	10.4994995092847	10.5807134866868	10.5727484186932	10.3287719797955
i32oNzel66LnlQv1Gk	SNX19	7.63226454263271	7.88355053633291	7.7381319559953	7.6093837617765	7.71993427857142	7.55148308685134
W54lufEK3rXp.JIPok	MAPKAPK3	10.5470499861082	10.6114075303146	10.0591356173033	10.3451362042917	10.3712931693824	10.3116057393842
BUJ2e7njqck4jl1FBc	LRRC49	8.24099358396804	8.25517799208201	8.51083826371183	8.5286266561409	8.41236032636646	8.37983973904289
KS.CyyLQqet6DaRQgc	BBS4	9.11423214274645	8.9561929949008	9.09127916001238	8.06097812915507	8.15301013344015	7.99939576605924
uIinCydJOL9T9UJYek	CENPI	8.77856148061887	8.75594622001428	8.73952220943205	8.85723308571394	8.90669257190722	8.91344124279976
rO7njrm7O7njru7e7k	SLC6A15	8.36539141715995	7.80552365445624	8.06272523984589	8.10101756168029	8.0312352739403	8.18238629751134
NTcnn4iGunq6FJ_yLc	PAN2	8.66561257233211	8.84262671374291	8.92578172837858	9.32784589355707	9.38368212491756	9.24048386607648
9VMCX3ofCK1wPJDdEU	PWP1	9.91602713826797	9.44464498786341	9.47814787069762	8.76972337332371	9.3833225555183	9.50002823241366
uWnUB7QnHw37lMIbf8	GSTT3	10.0310448559315	10.0688600449701	10.1689826661218	11.7444012532124	11.6045405623168	11.8280158031307
ioKNvdFWSHBKITDz0M	CHCHD10	12.9304503385741	13.6288313649962	13.143799963686	12.5220451184786	12.6250411519413	12.2768788454452
3s3gH.Rd.sU5A4cPko	FIG4	9.14029270351867	8.68096352443367	9.10806378127373	8.90993102619279	8.87688776268032	9.14936292203977
rtKgk4H0j01e531QOU	TRAF3IP2	8.5856106080457	9.02271032399858	8.98493229053214	8.93778966285285	8.97423095037644	9.00343180448808
0FWi5441TH_6ksbuIk	TTC41	7.63183064967452	7.75186983808034	7.7461224537587	7.76186103096867	7.84963199431405	7.86078048068347
3pSl_tuoHi9_fxhuxI	CSNK1G2	11.3316970738872	11.2044179105331	11.4827327552918	11.5594449804532	11.3786843601779	11.3514838202048
6V6IigqLrl_uwtAOy4	TMEM263	8.59823306095191	8.27285415965496	8.43326880640278	8.32857193433666	8.56321093454468	8.39734148808612
6pfhdOCd.IJN7.knVM	CEP57L1	9.47304591696888	9.13364250067242	9.2925217109898	9.55033600360904	9.34140968554251	9.14149722878842
rutKJAhdM4l9I69qlQ	ZC3H10	8.87745018275598	8.36097889740354	8.57837646283981	8.29602181959015	8.50445604122664	8.63988365084031
6fRFMeRJFoSxSi5eSc	NUP107	9.08950555078255	9.34927021350464	9.33985803781182	9.05897246957944	9.29682139891675	8.98117087668109
6egkcbd1PSHh1Wu6tM	MGAT4B	8.0385548680369	7.9087581602625	7.98614366561002	7.77702816506013	7.86157938565995	7.89215835582991
Q9xYPuHh0iJ3JPxS4o	MBTD1	9.20491711533538	9.05334165454269	8.98137757334483	9.49652677795098	9.16235404843677	9.35853020129903
cqU6tODeC.4WX7tyIk	PSME4	10.8292200005203	11.1024829766212	11.1932678865616	11.403335838111	11.4423533081273	11.3102028490842
ZLn0UKud5X3SlShLlQ	SMG6	8.02718327690861	8.42227834565849	8.3185951484604	8.35795608868008	8.41100190067449	8.47873263684327
NKlv0b0TVERWuFNI.s	TMED4	8.00067659542587	8.54008142943652	8.23888533197792	8.13838794682905	8.15584637208642	8.08946609745391
9OnvKq_7udXVWp.LuM	PNPO	8.89957339873498	8.55643878449325	8.61205208752646	8.50368654972495	8.87240410479447	8.63762374769907
N5_lbqeoyjenrUsSLc	TBC1D10A	8.01088136686293	8.500918442939	8.16523194972583	8.37243745888706	8.24950402426763	8.35008611780428
N8lSleUp4fVdokSNKg	TUBG1	9.49324272276798	9.27958747827343	9.12886815246471	9.20160098067825	9.34988274627591	9.4726944783954
ZmgFQCPH0qvwMD9b0g	PEX12	7.6947024280191	7.58594174140103	7.64373825380006	7.69963062692226	7.78106024617964	7.84457619597408
lje5XeS.rXdVJukMX8	MIEN1	11.5276324700054	11.694566194344	11.6200387775486	11.9907611673557	11.7331725664151	11.8951045209021
TeSeKoz1476OLe_kv0	TMEM17	8.28220188426468	8.22649435531894	8.43890472378438	7.84868685470826	7.83506336221089	7.80106846674431
czCXuAD.p4W2PddxFE	WDR92	8.24449764462676	8.11690644926273	8.23991722284268	9.07454044769284	9.14778981865935	9.10083101842253
cdYlOHQggCrnaHd8xE	MAML1	8.72326328467035	8.78423610536869	8.7257083438541	8.42086937801449	8.53475038702186	8.36522868388796
cq5SFUoEiIAvK4uS6I	ZFP692	8.92974917615912	8.35338382141801	8.65612626147488	8.9054851305649	8.91569228282792	8.98939675022271
